rank,team,accuracy_percent,correct,total,coverage_percent,updated_utc
1,PooRi,97.5,195,200,100.0,2026-05-16T15:55:10+00:00
2,pranshu rastogi,95.0,190,200,100.0,2026-05-21T03:35:38+00:00
3,fosu ltw,94.0,188,200,100.0,2026-05-07T01:16:35+00:00
4,NLP-DE,91.5,183,200,100.0,2026-05-23T10:18:54+00:00
5,TCLabs,89.5,179,200,100.0,2026-05-12T07:39:07+00:00
6,UyoAngle,86.5,173,200,100.0,2026-05-15T11:53:52+00:00
7,TextSentinels,86.0,172,200,100.0,2026-05-20T11:51:16+00:00
8,AI_TLfanclub,84.0,168,200,100.0,2026-05-15T06:47:57+00:00
9,FinEval,83.5,167,200,100.0,2026-05-20T17:38:21+00:00
10,DS@GT - FinMMEval Task 1,76.0,152,200,100.0,2026-05-09T19:21:48+00:00
11,FinEval,9.5,19,200,100.0,2026-05-21T11:54:05+00:00
