rank,team,rouge1_f1,rouge1_f1_percent,rouge1_precision,rouge1_recall,coverage_percent,easy_coverage_percent,expert_coverage_percent,updated_utc
1,Calibrated Signals,0.31182,31.18,0.302498,0.376361,100.0,100.0,100.0,2026-05-14T15:07:31Z
2,pranshu rastogi,0.309609,30.96,0.320841,0.35366,100.0,100.0,100.0,2026-05-21T03:16:19Z
3,IGT,0.307075,30.71,0.282108,0.40444,100.0,100.0,100.0,2026-05-20T22:18:54Z
4,AI_TLfanclub,0.303923,30.39,0.364714,0.30701,100.0,100.0,100.0,2026-05-15T10:26:07Z
5,PooRi,0.297152,29.72,0.278093,0.379763,100.0,100.0,100.0,2026-05-14T16:25:07Z
6,DS@GT FinMMEval,0.285309,28.53,0.257237,0.388839,100.0,100.0,100.0,2026-05-14T21:41:53Z
7,The Lab Rats,0.273353,27.34,0.273697,0.34169,100.0,100.0,100.0,2026-05-24T15:29:17Z
8,Ethereum Team B CLEF,0.254618,25.46,0.308559,0.264243,100.0,100.0,100.0,2026-05-17T10:14:30Z
9,TCLabs,0.250643,25.06,0.2321,0.32574,100.0,100.0,100.0,2026-05-12T08:16:43Z
10,HU_LLM_Fin,0.228886,22.89,0.258063,0.280321,100.0,100.0,100.0,2026-05-26T15:19:53Z
11,NLP-DE,0.204852,20.49,0.264342,0.190123,100.0,100.0,100.0,2026-05-23T08:53:18Z
12,TextSentinels,0.18734,18.73,0.30288,0.175564,100.0,100.0,100.0,2026-05-20T11:47:52Z
